Symbol,Name,Reason
WM,"Waste Management, Inc.",Debt/Equity
LNT,Alliant Energy Corporation,Operating Margins
EMN,Eastman Chemical Company,Operating Margins
LW,"Lamb Weston Holdings, Inc.",Operating Margins
BDX,"Becton, Dickinson and Company",P/E
HST,"Host Hotels & Resorts, Inc.",Operating Margins
DRI,"Darden Restaurants, Inc.",Operating Margins
CL,Colgate-Palmolive Company,Debt/Equity
PYPL,"PayPal Holdings, Inc.",Operating Margins
NRG,"NRG Energy, Inc.",Eps
MMM,3M Company,Eps
STE,STERIS plc,Operating Margins
PODD,Insulet Corporation,P/E
WTW,Willis Towers Watson Public Limited Company,Avg. Volume
PEG,Public Service Enterprise Group Incorporated,Debt/Equity
TFX,Teleflex Incorporated,Operating Margins
AMCR,Amcor plc,EBITDA Margin
NKE,"NIKE, Inc.",EBITDA Margin
BXP,"Boston Properties, Inc.",P/E
WAT,Waters Corporation,Debt/Equity
BSX,Boston Scientific Corporation,P/E
JNPR,"Juniper Networks, Inc.",EBITDA Margin
T,AT&T Inc.,Operating Margins
CVS,CVS Health Corporation,EBITDA Margin
PANW,"Palo Alto Networks, Inc.",EBITDA Margin
DOC,"Healthpeak Properties, Inc.",Debt/Equity
ABBV,AbbVie Inc.,P/E
LYB,LyondellBasell Industries N.V.,EBITDA Margin
CI,The Cigna Group,EBITDA Margin
RCL,Royal Caribbean Cruises Ltd.,Operating Margins
GD,General Dynamics Corporation,EBITDA Margin
TXT,Textron Inc.,EBITDA Margin
KR,The Kroger Co.,EBITDA Margin
BLK,"BlackRock, Inc.",Avg. Volume
NI,NiSource Inc.,Debt/Equity
UHS,"Universal Health Services, Inc.",EBITDA Margin
WDC,Western Digital Corporation,Eps
FANG,"Diamondback Energy, Inc.",Avg. Volume
FCX,Freeport-McMoRan Inc.,Beta
FDS,FactSet Research Systems Inc.,Avg. Volume
PXD,Pioneer Natural Resources Company,Avg. Volume
VFC,V.F. Corporation,Eps
CMCSA,Comcast Corporation,Operating Margins
HON,Honeywell International Inc.,Operating Margins
DOV,Dover Corporation,Operating Margins
TSCO,Tractor Supply Company,EBITDA Margin
PTC,PTC Inc.,P/E
EBAY,eBay Inc.,Operating Margins
CLX,The Clorox Company,P/E
BBY,"Best Buy Co., Inc.",EBITDA Margin
A,"Agilent Technologies, Inc.",Avg. Volume
FOX,Fox Corporation,Operating Margins
ETSY,"Etsy, Inc.",Operating Margins
IP,International Paper Company,EBITDA Margin
NVDA,NVIDIA Corporation,P/E
PH,Parker-Hannifin Corporation,Debt/Equity
INTU,Intuit Inc.,P/E
PSX,Phillips 66,EBITDA Margin
DXCM,"DexCom, Inc.",P/E
GLW,Corning Incorporated,Operating Margins
HPE,Hewlett Packard Enterprise Company,Operating Margins
EQR,Equity Residential,Avg. Volume
TER,"Teradyne, Inc.",Avg. Volume
NEE,"NextEra Energy, Inc.",Debt/Equity
CME,CME Group Inc.,Avg. Volume
SMCI,"Super Micro Computer, Inc.",P/E
VRSK,"Verisk Analytics, Inc.",Debt/Equity
CAH,"Cardinal Health, Inc.",EBITDA Margin
TPR,"Tapestry, Inc.",Debt/Equity
HSIC,"Henry Schein, Inc.",EBITDA Margin
BWA,BorgWarner Inc.,EBITDA Margin
PCG,PG&E Corporation,Debt/Equity
HSY,The Hershey Company,Operating Margins
RMD,ResMed Inc.,Avg. Volume
TT,Trane Technologies plc,Operating Margins
MPC,Marathon Petroleum Corporation,EBITDA Margin
KEYS,"Keysight Technologies, Inc.",Operating Margins
WRK,WestRock Company,Eps
TFC,Truist Financial Corporation,Eps
HCA,"HCA Healthcare, Inc.",Operating Margins
STX,Seagate Technology Holdings plc,Eps
FOXA,Fox Corporation,Operating Margins
GM,General Motors Company,EBITDA Margin
SNPS,"Synopsys, Inc.",P/E
SNA,Snap-on Incorporated,Avg. Volume
NOC,Northrop Grumman Corporation,EBITDA Margin
MPWR,"Monolithic Power Systems, Inc.",P/E
AAPL,Apple Inc.,Debt/Equity
EXPE,"Expedia Group, Inc.",EBITDA Margin
XYL,Xylem Inc.,Operating Margins
ATO,Atmos Energy Corporation,Revenue Growth
UDR,"UDR, Inc.",Operating Margins
QRVO,"Qorvo, Inc.",Eps
GRMN,Garmin Ltd.,Avg. Volume
BX,Blackstone Inc.,P/E
F,Ford Motor Company,EBITDA Margin
ALB,Albemarle Corporation,EBITDA Margin
MGM,MGM Resorts International,EBITDA Margin
NDSN,Nordson Corporation,Avg. Volume
EXC,Exelon Corporation,Debt/Equity
